Training 0.00 %,Trainning accuracy = 18.000001%, loss = 2.2903 
Training 39.90 %,Trainning accuracy = 86.000001%, loss = 0.3922 
Training 39.95 %,Trainning accuracy = 79.999995%, loss = 0.4331 
Training 40.00 %,Trainning accuracy = 88.000000%, loss = 0.2554 
Training 40.05 %,Trainning accuracy = 89.999998%, loss = 0.3901 
Training 40.10 %,Trainning accuracy = 89.999998%, loss = 0.3458 
Training 40.15 %,Trainning accuracy = 88.000000%, loss = 0.4355 
Training 40.20 %,Trainning accuracy = 77.999997%, loss = 0.5365 
Training 40.25 %,Trainning accuracy = 79.999995%, loss = 0.6299 
Training 40.30 %,Trainning accuracy = 85.999995%, loss = 0.4440 
Training 40.35 %,Trainning accuracy = 88.000000%, loss = 0.2902 
Training 40.40 %,Trainning accuracy = 88.000005%, loss = 0.2896 
Training 40.45 %,Trainning accuracy = 75.999999%, loss = 0.5957 
Training 40.50 %,Trainning accuracy = 87.999994%, loss = 0.3512 
Training 40.55 %,Trainning accuracy = 85.999995%, loss = 0.4252 
Training 40.60 %,Trainning accuracy = 86.000001%, loss = 0.3495 
Training 40.65 %,Trainning accuracy = 86.000001%, loss = 0.4956 
Training 40.70 %,Trainning accuracy = 90.000004%, loss = 0.2501 
Training 40.75 %,Trainning accuracy = 91.999996%, loss = 0.3398 
Training 40.80 %,Trainning accuracy = 84.000003%, loss = 0.3403 
Training 40.85 %,Trainning accuracy = 83.999997%, loss = 0.3572 
Training 40.90 %,Trainning accuracy = 83.999997%, loss = 0.3561 
Training 40.95 %,Trainning accuracy = 88.000000%, loss = 0.3431 
Training 41.00 %,Trainning accuracy = 89.999998%, loss = 0.2768 
Training 41.05 %,Trainning accuracy = 90.000004%, loss = 0.3608 
Training 41.10 %,Trainning accuracy = 79.999995%, loss = 0.4549 
Training 41.15 %,Trainning accuracy = 88.000000%, loss = 0.4050 
Training 41.20 %,Trainning accuracy = 83.999991%, loss = 0.4618 
Training 41.25 %,Trainning accuracy = 81.999999%, loss = 0.3932 
Training 41.30 %,Trainning accuracy = 89.999998%, loss = 0.2050 
Training 41.35 %,Trainning accuracy = 94.000000%, loss = 0.2075 
Training 41.40 %,Trainning accuracy = 81.999999%, loss = 0.5692 
Training 41.45 %,Trainning accuracy = 88.000000%, loss = 0.3517 
Training 41.50 %,Trainning accuracy = 89.999998%, loss = 0.3189 
Training 41.55 %,Trainning accuracy = 81.999999%, loss = 0.5000 
Training 41.60 %,Trainning accuracy = 89.999998%, loss = 0.3140 
Training 41.65 %,Trainning accuracy = 75.999999%, loss = 0.6866 
Training 41.70 %,Trainning accuracy = 81.999999%, loss = 0.4764 
Training 41.75 %,Trainning accuracy = 88.000000%, loss = 0.3278 
Training 41.80 %,Trainning accuracy = 87.999994%, loss = 0.3118 
Training 41.85 %,Trainning accuracy = 80.000001%, loss = 0.5184 
Training 41.90 %,Trainning accuracy = 85.999995%, loss = 0.4033 
Training 41.95 %,Trainning accuracy = 78.000003%, loss = 0.6711 
Training 42.00 %,Trainning accuracy = 77.999997%, loss = 0.5477 
Training 42.05 %,Trainning accuracy = 77.999997%, loss = 0.4773 
Training 42.10 %,Trainning accuracy = 92.000002%, loss = 0.2544 
Training 42.15 %,Trainning accuracy = 86.000001%, loss = 0.3874 
Training 42.20 %,Trainning accuracy = 90.000004%, loss = 0.2128 
Training 42.25 %,Trainning accuracy = 89.999998%, loss = 0.2694 
Training 42.30 %,Trainning accuracy = 86.000001%, loss = 0.4577 
Training 42.35 %,Trainning accuracy = 83.999991%, loss = 0.3071 
Training 42.40 %,Trainning accuracy = 84.000003%, loss = 0.4565 
Training 42.45 %,Trainning accuracy = 83.999997%, loss = 0.3091 
Training 42.50 %,Trainning accuracy = 88.000000%, loss = 0.2935 
Training 42.55 %,Trainning accuracy = 88.000000%, loss = 0.3104 
Training 42.60 %,Trainning accuracy = 91.999996%, loss = 0.2880 
Training 42.65 %,Trainning accuracy = 79.999995%, loss = 0.5983 
Training 42.70 %,Trainning accuracy = 83.999997%, loss = 0.3570 
Training 42.75 %,Trainning accuracy = 86.000001%, loss = 0.3157 
Training 42.80 %,Trainning accuracy = 94.000000%, loss = 0.2261 
Training 42.85 %,Trainning accuracy = 85.999995%, loss = 0.3255 
Training 42.90 %,Trainning accuracy = 89.999998%, loss = 0.3392 
Training 42.95 %,Trainning accuracy = 86.000001%, loss = 0.3609 
Training 43.00 %,Trainning accuracy = 79.999995%, loss = 0.5390 
Training 43.05 %,Trainning accuracy = 81.999999%, loss = 0.3491 
Training 43.10 %,Trainning accuracy = 92.000002%, loss = 0.2544 
Training 43.15 %,Trainning accuracy = 89.999998%, loss = 0.3244 
Training 43.20 %,Trainning accuracy = 86.000001%, loss = 0.4783 
Training 43.25 %,Trainning accuracy = 79.999995%, loss = 0.5542 
Training 43.30 %,Trainning accuracy = 81.999999%, loss = 0.6112 
Training 43.35 %,Trainning accuracy = 89.999998%, loss = 0.3649 
Training 43.40 %,Trainning accuracy = 81.999993%, loss = 0.4403 
Training 43.45 %,Trainning accuracy = 92.000002%, loss = 0.2565 
Training 43.50 %,Trainning accuracy = 91.999996%, loss = 0.3428 
Training 43.55 %,Trainning accuracy = 89.999998%, loss = 0.2768 
Training 43.60 %,Trainning accuracy = 88.000000%, loss = 0.4871 
Training 43.65 %,Trainning accuracy = 86.000001%, loss = 0.3578 
Training 43.70 %,Trainning accuracy = 89.999998%, loss = 0.3436 
Training 43.75 %,Trainning accuracy = 97.999996%, loss = 0.1547 
Training 43.80 %,Trainning accuracy = 86.000001%, loss = 0.4772 
Training 43.85 %,Trainning accuracy = 83.999997%, loss = 0.3731 
Training 43.90 %,Trainning accuracy = 92.000002%, loss = 0.2327 
Training 43.95 %,Trainning accuracy = 81.999999%, loss = 0.3545 
Training 44.00 %,Trainning accuracy = 83.999997%, loss = 0.4246 
Training 44.05 %,Trainning accuracy = 79.999995%, loss = 0.4570 
Training 44.10 %,Trainning accuracy = 94.000006%, loss = 0.3649 
Training 44.15 %,Trainning accuracy = 89.999998%, loss = 0.2735 
Training 44.20 %,Trainning accuracy = 86.000001%, loss = 0.3535 
Training 44.25 %,Trainning accuracy = 77.999997%, loss = 0.4520 
Training 44.30 %,Trainning accuracy = 84.000003%, loss = 0.3963 
Training 44.35 %,Trainning accuracy = 88.000000%, loss = 0.3572 
Training 44.40 %,Trainning accuracy = 88.000000%, loss = 0.3064 
Training 44.45 %,Trainning accuracy = 83.999997%, loss = 0.3600 
Training 44.50 %,Trainning accuracy = 89.999998%, loss = 0.4347 
Training 44.55 %,Trainning accuracy = 81.999999%, loss = 0.4678 
Training 44.60 %,Trainning accuracy = 85.999995%, loss = 0.3860 
Training 44.65 %,Trainning accuracy = 84.000003%, loss = 0.3182 
Training 44.70 %,Trainning accuracy = 94.000000%, loss = 0.4007 
Training 44.75 %,Trainning accuracy = 90.000004%, loss = 0.3495 
Training 44.80 %,Trainning accuracy = 86.000001%, loss = 0.3230 
Training 44.85 %,Trainning accuracy = 79.999995%, loss = 0.5053 
Training 44.90 %,Trainning accuracy = 88.000000%, loss = 0.3353 
Training 44.95 %,Trainning accuracy = 88.000005%, loss = 0.3224 
Training 45.00 %,Trainning accuracy = 90.000004%, loss = 0.2570 
Training 45.05 %,Trainning accuracy = 83.999997%, loss = 0.4030 
Training 45.10 %,Trainning accuracy = 90.000004%, loss = 0.3354 
Training 45.15 %,Trainning accuracy = 88.000000%, loss = 0.3380 
Training 45.20 %,Trainning accuracy = 81.999999%, loss = 0.5590 
Training 45.25 %,Trainning accuracy = 84.000003%, loss = 0.3538 
Training 45.30 %,Trainning accuracy = 79.999995%, loss = 0.5100 
Training 45.35 %,Trainning accuracy = 89.999998%, loss = 0.3091 
Training 45.40 %,Trainning accuracy = 80.000001%, loss = 0.6347 
Training 45.45 %,Trainning accuracy = 75.999999%, loss = 0.6601 
Training 45.50 %,Trainning accuracy = 83.999991%, loss = 0.3837 
Training 45.55 %,Trainning accuracy = 90.000004%, loss = 0.2429 
Training 45.60 %,Trainning accuracy = 83.999997%, loss = 0.3425 
Training 45.65 %,Trainning accuracy = 94.000000%, loss = 0.3372 
Training 45.70 %,Trainning accuracy = 83.999997%, loss = 0.4398 
Training 45.75 %,Trainning accuracy = 87.999994%, loss = 0.3969 
Training 45.80 %,Trainning accuracy = 85.999995%, loss = 0.4294 
Training 45.85 %,Trainning accuracy = 90.000004%, loss = 0.3397 
Training 45.90 %,Trainning accuracy = 91.999996%, loss = 0.2277 
Training 45.95 %,Trainning accuracy = 85.999995%, loss = 0.4423 
Training 46.00 %,Trainning accuracy = 88.000005%, loss = 0.2962 
Training 46.05 %,Trainning accuracy = 92.000002%, loss = 0.3059 
Training 46.10 %,Trainning accuracy = 86.000001%, loss = 0.3223 
Training 46.15 %,Trainning accuracy = 86.000001%, loss = 0.4078 
Training 46.20 %,Trainning accuracy = 90.000004%, loss = 0.3826 
Training 46.25 %,Trainning accuracy = 83.999991%, loss = 0.5974 
Training 46.30 %,Trainning accuracy = 94.000000%, loss = 0.2124 
Training 46.35 %,Trainning accuracy = 81.999993%, loss = 0.3391 
Training 46.40 %,Trainning accuracy = 88.000000%, loss = 0.4174 
Training 46.45 %,Trainning accuracy = 91.999996%, loss = 0.2826 
Training 46.50 %,Trainning accuracy = 87.999994%, loss = 0.3510 
Training 46.55 %,Trainning accuracy = 86.000001%, loss = 0.3995 
Training 46.60 %,Trainning accuracy = 83.999991%, loss = 0.3479 
Training 46.65 %,Trainning accuracy = 88.000000%, loss = 0.3673 
Training 46.70 %,Trainning accuracy = 88.000005%, loss = 0.3646 
Training 46.75 %,Trainning accuracy = 86.000001%, loss = 0.3833 
Training 46.80 %,Trainning accuracy = 94.000006%, loss = 0.2195 
Training 46.85 %,Trainning accuracy = 81.999999%, loss = 0.4631 
Training 46.90 %,Trainning accuracy = 85.999995%, loss = 0.4934 
Training 46.95 %,Trainning accuracy = 85.999995%, loss = 0.4243 
Training 47.00 %,Trainning accuracy = 90.000004%, loss = 0.2489 
Training 47.05 %,Trainning accuracy = 83.999997%, loss = 0.4191 
Training 47.10 %,Trainning accuracy = 94.000006%, loss = 0.1821 
Training 47.15 %,Trainning accuracy = 86.000001%, loss = 0.3071 
Training 47.20 %,Trainning accuracy = 82.000005%, loss = 0.5120 
Training 47.25 %,Trainning accuracy = 92.000002%, loss = 0.2628 
Training 47.30 %,Trainning accuracy = 95.999998%, loss = 0.2038 
Training 47.35 %,Trainning accuracy = 81.999993%, loss = 0.4435 
Training 47.40 %,Trainning accuracy = 95.999998%, loss = 0.1359 
Training 47.45 %,Trainning accuracy = 92.000002%, loss = 0.3730 
Training 47.50 %,Trainning accuracy = 88.000005%, loss = 0.3005 
Training 47.55 %,Trainning accuracy = 88.000005%, loss = 0.3261 
Training 47.60 %,Trainning accuracy = 83.999997%, loss = 0.4219 
Training 47.65 %,Trainning accuracy = 90.000004%, loss = 0.4128 
Training 47.70 %,Trainning accuracy = 83.999997%, loss = 0.5798 
Training 47.75 %,Trainning accuracy = 81.999999%, loss = 0.5330 
Training 47.80 %,Trainning accuracy = 83.999997%, loss = 0.3230 
Training 47.85 %,Trainning accuracy = 94.000000%, loss = 0.2343 
Training 47.90 %,Trainning accuracy = 94.000000%, loss = 0.2492 
Training 47.95 %,Trainning accuracy = 94.000000%, loss = 0.2916 
Training 48.00 %,Trainning accuracy = 80.000001%, loss = 0.4369 
Training 48.05 %,Trainning accuracy = 90.000004%, loss = 0.3166 
Training 48.10 %,Trainning accuracy = 88.000000%, loss = 0.3340 
Training 48.15 %,Trainning accuracy = 88.000000%, loss = 0.5345 
Training 48.20 %,Trainning accuracy = 94.000006%, loss = 0.2441 
Training 48.25 %,Trainning accuracy = 92.000002%, loss = 0.2810 
Training 48.30 %,Trainning accuracy = 83.999997%, loss = 0.5479 
Training 48.35 %,Trainning accuracy = 89.999998%, loss = 0.2872 
Training 48.40 %,Trainning accuracy = 92.000002%, loss = 0.2576 
Training 48.45 %,Trainning accuracy = 84.000003%, loss = 0.3693 
Training 48.50 %,Trainning accuracy = 84.000003%, loss = 0.5999 
Training 48.55 %,Trainning accuracy = 87.999994%, loss = 0.3084 
Training 48.60 %,Trainning accuracy = 80.000001%, loss = 0.4388 
Training 48.65 %,Trainning accuracy = 80.000001%, loss = 0.3398 
Training 48.70 %,Trainning accuracy = 88.000000%, loss = 0.2406 
Training 48.75 %,Trainning accuracy = 94.000006%, loss = 0.2135 
Training 48.80 %,Trainning accuracy = 84.000003%, loss = 0.3744 
Training 48.85 %,Trainning accuracy = 88.000005%, loss = 0.2952 
Training 48.90 %,Trainning accuracy = 83.999997%, loss = 0.4037 
Training 48.95 %,Trainning accuracy = 94.000000%, loss = 0.2470 
Training 49.00 %,Trainning accuracy = 88.000000%, loss = 0.3114 
Training 49.05 %,Trainning accuracy = 88.000000%, loss = 0.4519 
Training 49.10 %,Trainning accuracy = 81.999999%, loss = 0.3806 
Training 49.15 %,Trainning accuracy = 77.999997%, loss = 0.4846 
Training 49.20 %,Trainning accuracy = 81.999993%, loss = 0.3991 
Training 49.25 %,Trainning accuracy = 86.000001%, loss = 0.3680 
Training 49.30 %,Trainning accuracy = 88.000000%, loss = 0.3353 
Training 49.35 %,Trainning accuracy = 86.000001%, loss = 0.4776 
Training 49.40 %,Trainning accuracy = 96.000004%, loss = 0.1378 
Training 49.45 %,Trainning accuracy = 86.000001%, loss = 0.4247 
Training 49.50 %,Trainning accuracy = 89.999998%, loss = 0.2588 
Training 49.55 %,Trainning accuracy = 88.000000%, loss = 0.3867 
Training 49.60 %,Trainning accuracy = 83.999997%, loss = 0.4087 
Training 49.65 %,Trainning accuracy = 89.999998%, loss = 0.3335 
Training 49.70 %,Trainning accuracy = 86.000001%, loss = 0.2796 
Training 49.75 %,Trainning accuracy = 84.000003%, loss = 0.3087 
Training 49.80 %,Trainning accuracy = 81.999993%, loss = 0.3559 
Training 49.85 %,Trainning accuracy = 89.999998%, loss = 0.3326 
Training 49.90 %,Trainning accuracy = 89.999998%, loss = 0.2643 
Training 49.95 %,Trainning accuracy = 91.999996%, loss = 0.3183 
Training 50.00 %,Trainning accuracy = 88.000005%, loss = 0.2855 
Training 50.05 %,Trainning accuracy = 86.000001%, loss = 0.3520 
Training 50.10 %,Trainning accuracy = 92.000002%, loss = 0.4399 
Training 50.15 %,Trainning accuracy = 86.000001%, loss = 0.3558 
Training 50.20 %,Trainning accuracy = 94.000000%, loss = 0.2238 
Training 50.25 %,Trainning accuracy = 83.999997%, loss = 0.4122 
Training 50.30 %,Trainning accuracy = 92.000002%, loss = 0.2677 
Training 50.35 %,Trainning accuracy = 83.999997%, loss = 0.5236 
Training 50.40 %,Trainning accuracy = 89.999998%, loss = 0.2747 
Training 50.45 %,Trainning accuracy = 88.000000%, loss = 0.3127 
Training 50.50 %,Trainning accuracy = 89.999998%, loss = 0.2118 
Training 50.55 %,Trainning accuracy = 86.000001%, loss = 0.2656 
Training 50.60 %,Trainning accuracy = 88.000000%, loss = 0.3018 
Training 50.65 %,Trainning accuracy = 86.000001%, loss = 0.2700 
Training 50.70 %,Trainning accuracy = 87.999994%, loss = 0.3437 
Training 50.75 %,Trainning accuracy = 78.000003%, loss = 0.7099 
Training 50.80 %,Trainning accuracy = 86.000001%, loss = 0.2788 
Training 50.85 %,Trainning accuracy = 92.000002%, loss = 0.2939 
Training 50.90 %,Trainning accuracy = 86.000001%, loss = 0.4050 
Training 50.95 %,Trainning accuracy = 92.000002%, loss = 0.2346 
Training 51.00 %,Trainning accuracy = 89.999998%, loss = 0.3020 
Training 51.05 %,Trainning accuracy = 88.000000%, loss = 0.3314 
Training 51.10 %,Trainning accuracy = 83.999997%, loss = 0.3268 
Training 51.15 %,Trainning accuracy = 94.000000%, loss = 0.1863 
Training 51.20 %,Trainning accuracy = 94.000000%, loss = 0.2571 
Training 51.25 %,Trainning accuracy = 77.999997%, loss = 0.5212 
Training 51.30 %,Trainning accuracy = 88.000000%, loss = 0.2498 
Training 51.35 %,Trainning accuracy = 100.000000%, loss = 0.0938 
Training 51.40 %,Trainning accuracy = 94.000000%, loss = 0.2654 
Training 51.45 %,Trainning accuracy = 83.999997%, loss = 0.4075 
Training 51.50 %,Trainning accuracy = 91.999996%, loss = 0.3350 
Training 51.55 %,Trainning accuracy = 89.999998%, loss = 0.2636 
Training 51.60 %,Trainning accuracy = 85.999995%, loss = 0.3889 
Training 51.65 %,Trainning accuracy = 86.000001%, loss = 0.3570 
Training 51.70 %,Trainning accuracy = 80.000001%, loss = 0.5708 
Training 51.75 %,Trainning accuracy = 88.000000%, loss = 0.3322 
Training 51.80 %,Trainning accuracy = 85.999995%, loss = 0.2996 
Training 51.85 %,Trainning accuracy = 91.999996%, loss = 0.2728 
Training 51.90 %,Trainning accuracy = 90.000004%, loss = 0.2827 
Training 51.95 %,Trainning accuracy = 77.999997%, loss = 0.6536 
Training 52.00 %,Trainning accuracy = 86.000001%, loss = 0.3430 
Training 52.05 %,Trainning accuracy = 83.999997%, loss = 0.4389 
Training 52.10 %,Trainning accuracy = 92.000002%, loss = 0.2537 
Training 52.15 %,Trainning accuracy = 91.999996%, loss = 0.2125 
Training 52.20 %,Trainning accuracy = 89.999998%, loss = 0.3005 
Training 52.25 %,Trainning accuracy = 92.000002%, loss = 0.1974 
Training 52.30 %,Trainning accuracy = 90.000004%, loss = 0.3314 
Training 52.35 %,Trainning accuracy = 88.000000%, loss = 0.4772 
Training 52.40 %,Trainning accuracy = 81.999993%, loss = 0.3593 
Training 52.45 %,Trainning accuracy = 83.999997%, loss = 0.5159 
Training 52.50 %,Trainning accuracy = 91.999996%, loss = 0.2343 
Training 52.55 %,Trainning accuracy = 85.999995%, loss = 0.4348 
Training 52.60 %,Trainning accuracy = 74.000001%, loss = 0.5893 
Training 52.65 %,Trainning accuracy = 81.999999%, loss = 0.6351 
Training 52.70 %,Trainning accuracy = 94.000000%, loss = 0.3038 
Training 52.75 %,Trainning accuracy = 81.999999%, loss = 0.4223 
Training 52.80 %,Trainning accuracy = 88.000000%, loss = 0.3902 
Training 52.85 %,Trainning accuracy = 89.999998%, loss = 0.3054 
Training 52.90 %,Trainning accuracy = 88.000000%, loss = 0.2997 
Training 52.95 %,Trainning accuracy = 86.000001%, loss = 0.2970 
Training 53.00 %,Trainning accuracy = 88.000000%, loss = 0.3029 
Training 53.05 %,Trainning accuracy = 81.999999%, loss = 0.4513 
Training 53.10 %,Trainning accuracy = 91.999996%, loss = 0.3146 
Training 53.15 %,Trainning accuracy = 94.000000%, loss = 0.2336 
Training 53.20 %,Trainning accuracy = 82.000005%, loss = 0.5220 
Training 53.25 %,Trainning accuracy = 81.999999%, loss = 0.4318 
Training 53.30 %,Trainning accuracy = 90.000004%, loss = 0.3590 
Training 53.35 %,Trainning accuracy = 95.999998%, loss = 0.2067 
Training 53.40 %,Trainning accuracy = 92.000002%, loss = 0.1825 
Training 53.45 %,Trainning accuracy = 81.999999%, loss = 0.3554 
Training 53.50 %,Trainning accuracy = 86.000001%, loss = 0.2794 
Training 53.55 %,Trainning accuracy = 86.000001%, loss = 0.3393 
Training 53.60 %,Trainning accuracy = 77.999997%, loss = 0.4690 
Training 53.65 %,Trainning accuracy = 92.000002%, loss = 0.2442 
Training 53.70 %,Trainning accuracy = 89.999998%, loss = 0.3050 
Training 53.75 %,Trainning accuracy = 96.000004%, loss = 0.1605 
Training 53.80 %,Trainning accuracy = 81.999993%, loss = 0.5444 
Training 53.85 %,Trainning accuracy = 92.000002%, loss = 0.2582 
Training 53.90 %,Trainning accuracy = 94.000000%, loss = 0.2596 
Training 53.95 %,Trainning accuracy = 92.000002%, loss = 0.2888 
Training 54.00 %,Trainning accuracy = 90.000004%, loss = 0.2802 
Training 54.05 %,Trainning accuracy = 90.000004%, loss = 0.2844 
Training 54.10 %,Trainning accuracy = 92.000002%, loss = 0.1746 
Training 54.15 %,Trainning accuracy = 89.999998%, loss = 0.2693 
Training 54.20 %,Trainning accuracy = 94.000000%, loss = 0.1473 
Training 54.25 %,Trainning accuracy = 82.000005%, loss = 0.4207 
Training 54.30 %,Trainning accuracy = 85.999995%, loss = 0.3136 
Training 54.35 %,Trainning accuracy = 88.000005%, loss = 0.2733 
Training 54.40 %,Trainning accuracy = 83.999991%, loss = 0.3721 
Training 54.45 %,Trainning accuracy = 81.999999%, loss = 0.5198 
Training 54.50 %,Trainning accuracy = 86.000001%, loss = 0.3146 
Training 54.55 %,Trainning accuracy = 88.000000%, loss = 0.3239 
Training 54.60 %,Trainning accuracy = 85.999995%, loss = 0.4300 
Training 54.65 %,Trainning accuracy = 95.999998%, loss = 0.1658 
Training 54.70 %,Trainning accuracy = 88.000000%, loss = 0.3143 
Training 54.75 %,Trainning accuracy = 92.000002%, loss = 0.1547 
Training 54.80 %,Trainning accuracy = 92.000002%, loss = 0.2545 
Training 54.85 %,Trainning accuracy = 91.999996%, loss = 0.2499 
Training 54.90 %,Trainning accuracy = 84.000003%, loss = 0.5564 
Training 54.95 %,Trainning accuracy = 88.000000%, loss = 0.4111 
Training 55.00 %,Trainning accuracy = 83.999991%, loss = 0.4194 
Training 55.05 %,Trainning accuracy = 83.999997%, loss = 0.4974 
Training 55.10 %,Trainning accuracy = 88.000000%, loss = 0.3350 
Training 55.15 %,Trainning accuracy = 79.999995%, loss = 0.4849 
Training 55.20 %,Trainning accuracy = 83.999997%, loss = 0.3158 
Training 55.25 %,Trainning accuracy = 88.000005%, loss = 0.3416 
Training 55.30 %,Trainning accuracy = 86.000001%, loss = 0.4150 
Training 55.35 %,Trainning accuracy = 81.999993%, loss = 0.5134 
Training 55.40 %,Trainning accuracy = 88.000000%, loss = 0.3328 
Training 55.45 %,Trainning accuracy = 89.999998%, loss = 0.2934 
Training 55.50 %,Trainning accuracy = 90.000004%, loss = 0.3657 
Training 55.55 %,Trainning accuracy = 88.000000%, loss = 0.2758 
Training 55.60 %,Trainning accuracy = 98.000002%, loss = 0.1568 
Training 55.65 %,Trainning accuracy = 92.000002%, loss = 0.2425 
Training 55.70 %,Trainning accuracy = 86.000001%, loss = 0.3374 
Training 55.75 %,Trainning accuracy = 88.000005%, loss = 0.4397 
Training 55.80 %,Trainning accuracy = 89.999998%, loss = 0.3259 
Training 55.85 %,Trainning accuracy = 92.000002%, loss = 0.3025 
Training 55.90 %,Trainning accuracy = 91.999996%, loss = 0.3264 
Training 55.95 %,Trainning accuracy = 93.999994%, loss = 0.1530 
Training 56.00 %,Trainning accuracy = 83.999997%, loss = 0.4079 
Training 56.05 %,Trainning accuracy = 88.000000%, loss = 0.3192 
Training 56.10 %,Trainning accuracy = 88.000000%, loss = 0.3453 
Training 56.15 %,Trainning accuracy = 92.000002%, loss = 0.3289 
Training 56.20 %,Trainning accuracy = 85.999995%, loss = 0.3983 
Training 56.25 %,Trainning accuracy = 88.000000%, loss = 0.3541 
Training 56.30 %,Trainning accuracy = 94.000000%, loss = 0.2485 
Training 56.35 %,Trainning accuracy = 92.000002%, loss = 0.2463 
Training 56.40 %,Trainning accuracy = 94.000006%, loss = 0.2185 
Training 56.45 %,Trainning accuracy = 94.000006%, loss = 0.1622 
Training 56.50 %,Trainning accuracy = 94.000000%, loss = 0.2864 
Training 56.55 %,Trainning accuracy = 90.000004%, loss = 0.2159 
Training 56.60 %,Trainning accuracy = 94.000000%, loss = 0.2363 
Training 56.65 %,Trainning accuracy = 94.000000%, loss = 0.1813 
Training 56.70 %,Trainning accuracy = 92.000002%, loss = 0.2231 
Training 56.75 %,Trainning accuracy = 85.999995%, loss = 0.3526 
Training 56.80 %,Trainning accuracy = 94.000000%, loss = 0.2865 
Training 56.85 %,Trainning accuracy = 79.999995%, loss = 0.4002 
Training 56.90 %,Trainning accuracy = 83.999997%, loss = 0.4394 
Training 56.95 %,Trainning accuracy = 86.000001%, loss = 0.3371 
Training 57.00 %,Trainning accuracy = 94.000006%, loss = 0.2620 
Training 57.05 %,Trainning accuracy = 92.000002%, loss = 0.1875 
Training 57.10 %,Trainning accuracy = 92.000002%, loss = 0.1782 
Training 57.15 %,Trainning accuracy = 93.999994%, loss = 0.2169 
Training 57.20 %,Trainning accuracy = 88.000005%, loss = 0.3757 
Training 57.25 %,Trainning accuracy = 85.999995%, loss = 0.4054 
Training 57.30 %,Trainning accuracy = 87.999994%, loss = 0.2876 
Training 57.35 %,Trainning accuracy = 88.000000%, loss = 0.2748 
Training 57.40 %,Trainning accuracy = 88.000000%, loss = 0.4477 
Training 57.45 %,Trainning accuracy = 90.000004%, loss = 0.2236 
Training 57.50 %,Trainning accuracy = 81.999993%, loss = 0.3843 
Training 57.55 %,Trainning accuracy = 81.999999%, loss = 0.3557 
Training 57.60 %,Trainning accuracy = 89.999998%, loss = 0.3300 
Training 57.65 %,Trainning accuracy = 83.999997%, loss = 0.3898 
Training 57.70 %,Trainning accuracy = 88.000000%, loss = 0.2919 
Training 57.75 %,Trainning accuracy = 86.000001%, loss = 0.2672 
Training 57.80 %,Trainning accuracy = 88.000000%, loss = 0.2622 
Training 57.85 %,Trainning accuracy = 98.000002%, loss = 0.1537 
Training 57.90 %,Trainning accuracy = 89.999998%, loss = 0.2626 
Training 57.95 %,Trainning accuracy = 88.000000%, loss = 0.2122 
Training 58.00 %,Trainning accuracy = 91.999996%, loss = 0.2505 
Training 58.05 %,Trainning accuracy = 84.000003%, loss = 0.3838 
Training 58.10 %,Trainning accuracy = 89.999998%, loss = 0.3453 
Training 58.15 %,Trainning accuracy = 77.999997%, loss = 0.6033 
Training 58.20 %,Trainning accuracy = 94.000000%, loss = 0.3132 
Training 58.25 %,Trainning accuracy = 89.999998%, loss = 0.2410 
Training 58.30 %,Trainning accuracy = 86.000001%, loss = 0.2678 
Training 58.35 %,Trainning accuracy = 96.000004%, loss = 0.2511 
Training 58.40 %,Trainning accuracy = 87.999994%, loss = 0.3355 
Training 58.45 %,Trainning accuracy = 88.000000%, loss = 0.4195 
Training 58.50 %,Trainning accuracy = 97.999996%, loss = 0.0912 
Training 58.55 %,Trainning accuracy = 89.999998%, loss = 0.3279 
Training 58.60 %,Trainning accuracy = 96.000004%, loss = 0.1883 
Training 58.65 %,Trainning accuracy = 92.000002%, loss = 0.3249 
Training 58.70 %,Trainning accuracy = 94.000000%, loss = 0.2250 
Training 58.75 %,Trainning accuracy = 88.000000%, loss = 0.2505 
Training 58.80 %,Trainning accuracy = 94.000006%, loss = 0.2012 
Training 58.85 %,Trainning accuracy = 81.999999%, loss = 0.4507 
Training 58.90 %,Trainning accuracy = 79.999995%, loss = 0.4514 
Training 58.95 %,Trainning accuracy = 94.000000%, loss = 0.2061 
Training 59.00 %,Trainning accuracy = 90.000004%, loss = 0.2738 
Training 59.05 %,Trainning accuracy = 85.999995%, loss = 0.3712 
Training 59.10 %,Trainning accuracy = 89.999998%, loss = 0.2445 
Training 59.15 %,Trainning accuracy = 88.000000%, loss = 0.2916 
Training 59.20 %,Trainning accuracy = 90.000004%, loss = 0.1736 
Training 59.25 %,Trainning accuracy = 94.000000%, loss = 0.1867 
Training 59.30 %,Trainning accuracy = 85.999995%, loss = 0.3589 
Training 59.35 %,Trainning accuracy = 84.000003%, loss = 0.4381 
Training 59.40 %,Trainning accuracy = 88.000000%, loss = 0.3033 
Training 59.45 %,Trainning accuracy = 88.000000%, loss = 0.3372 
Training 59.50 %,Trainning accuracy = 94.000000%, loss = 0.2386 
Training 59.55 %,Trainning accuracy = 91.999996%, loss = 0.2680 
Training 59.60 %,Trainning accuracy = 98.000002%, loss = 0.2160 
Training 59.65 %,Trainning accuracy = 92.000002%, loss = 0.1590 
Training 59.70 %,Trainning accuracy = 83.999991%, loss = 0.3269 
Training 59.75 %,Trainning accuracy = 82.000005%, loss = 0.3634 
Training 59.80 %,Trainning accuracy = 85.999995%, loss = 0.3860 
